,Cat(s),Hair Dryer,Smoke Detector,Wireless Internet,Other pet(s),Dog(s),Smoking Allowed,Heating,24-Hour Check-in,Family/Kid Friendly,Safety Card,Internet,Gym,Breakfast,Indoor Fireplace,Fire Extinguisher,Wheelchair Accessible,Iron,Pool,First Aid Kit,Laptop Friendly Workspace,Doorman,Carbon Monoxide Detector,Shampoo,Dryer,Buzzer/Wireless Intercom,Free Parking on Premises,Hangers,Suitable for Events,Pets Allowed,Washer / Dryer,Hot Tub,Pets live on this property,Kitchen,Elevator in Building,TV,Lock on Bedroom Door,Essentials,Air Conditioning,Washer,Cable TV,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
0,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,0.96,1.0,0.0,3.0,3.0,4,1.0,1.0,1.0,854.6185567010309,85.0,788.4818317570931,2613.336189848385,287.61039657020365,2,1,365,14,41,71,346,207,95.0,10.0,10.0,10.0,10.0,9.0,10.0,2,4.07
1,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,0.98,1.0,1.0,6.0,6.0,4,1.0,1.0,1.0,854.6185567010309,150.0,1000.0,3000.0,100.0,1,2,90,13,13,16,291,43,96.0,10.0,10.0,10.0,10.0,10.0,10.0,6,1.48
2,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,0.67,1.0,0.0,2.0,2.0,11,4.5,5.0,7.0,854.6185567010309,975.0,788.4818317570931,2613.336189848385,1000.0,10,4,30,1,6,17,220,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1.15
3,False,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.948867981790592,0.999671592775041,0.0,1.0,1.0,3,1.0,0.0,2.0,854.6185567010309,100.0,650.0,2300.0,287.61039657020365,1,1,1125,0,0,0,143,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
4,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,1.0,0.999671592775041,0.0,2.0,2.0,6,2.0,3.0,3.0,854.6185567010309,450.0,788.4818317570931,2613.336189848385,700.0,6,1,1125,30,60,90,365,38,92.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0.89
5,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.948867981790592,0.999671592775041,0.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,120.0,800.0,2613.336189848385,287.61039657020365,1,1,6,0,0,27,302,17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.45
6,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,80.0,575.0,2613.336189848385,150.0,1,3,14,20,49,71,346,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.46
7,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1.0,1.0,1.0,5.0,5.0,2,1.0,1.0,1.0,854.6185567010309,60.0,360.0,2613.336189848385,150.0,1,2,7,22,42,42,100,173,97.0,10.0,10.0,10.0,10.0,9.0,10.0,5,4.73
8,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,0.948867981790592,1.0,0.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,90.0,500.0,1700.0,287.61039657020365,1,3,1125,6,36,66,341,8,97.0,10.0,9.0,10.0,9.0,10.0,10.0,1,1.22
9,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,0.98,1.0,1.0,6.0,6.0,4,1.0,1.0,1.0,854.6185567010309,150.0,1000.0,3000.0,100.0,1,2,365,6,19,49,324,32,97.0,10.0,10.0,10.0,10.0,10.0,9.0,6,1.55
10,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,95.0,595.0,2613.336189848385,287.61039657020365,2,3,7,0,0,0,153,181,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.33
11,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,1.0,1.0,0.0,1.0,1.0,2,1.0,1.0,1.0,854.6185567010309,99.0,800.0,2000.0,500.0,1,3,1125,21,21,21,229,8,97.0,10.0,10.0,9.0,10.0,10.0,9.0,1,0.98
